# Group models by family, rank and tactical branch; S/M/L/X share a model category.
component_set = { key = "FOC_V1710_EMP_CONCUSSION_MK01_SET" icon = "GFX_ship_part_heavy_concussion" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_CONCUSSION_MK02_SET" icon = "GFX_ship_part_heavy_concussion" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_CONCUSSION_MK03_SET" icon = "GFX_ship_part_heavy_concussion" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_CONCUSSION_MK04_SET" icon = "GFX_ship_part_heavy_concussion" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_CONCUSSION_MK05_SET" icon = "GFX_ship_part_assault_concussion" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_CONCUSSION_MK06_SET" icon = "GFX_ship_part_assault_concussion" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_CONCUSSION_MK07_SET" icon = "GFX_ship_part_assault_concussion" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_CONCUSSION_MK08_SET" icon = "GFX_ship_part_assault_concussion" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_CONCUSSION_MK09_SET" icon = "GFX_ship_part_assault_concussion" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_CONCUSSION_MK10_SET" icon = "GFX_ship_part_assault_concussion" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_CONCUSSION_MK11_SET" icon = "GFX_ship_part_assault_concussion" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_CONCUSSION_MK12_SET" icon = "GFX_ship_part_assault_concussion" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_CONCUSSION_MK13_SET" icon = "GFX_ship_part_assault_concussion" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_DISRUPTOR_MK01_SET" icon = "GFX_ship_part_disruptor_turbo_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_DISRUPTOR_MK02_SET" icon = "GFX_ship_part_disruptor_turbo_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_DISRUPTOR_MK03_SET" icon = "GFX_ship_part_disruptor_turbo_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_DISRUPTOR_MK04_SET" icon = "GFX_ship_part_disruptor_turbo_2" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_DISRUPTOR_MK05_SET" icon = "GFX_ship_part_disruptor_turbo_3" icon_frame = 1 }
component_set = { key = "FOC_V1710_EMP_DISRUPTOR_MK06_SET" icon = "GFX_ship_part_disruptor_turbo_3" icon_frame = 1 }
